CUT,NOMBRE,escudo,PROVINCIA,REGION,SUPERFICIE,POBLACION,DENSIDAD,IDH,asdf,LATTITUD,LONGITUD
15101,Arica,Escudo de Arica,Arica,Bandera de la Region de Arica y Parinacota Arica y Parinacota,47994,247552,516,0866,Alto,-18°27'18",-70°17'24"
15102,Camarones,Escudo de Camarones,Arica,Bandera de la Region de Arica y Parinacota Arica y Parinacota,3927,1233,031,0791,Alto,-19°1'12",-69°52'12"
15201,Putre,Escudo de Putre,Parinacota,Bandera de la Region de Arica y Parinacota Arica y Parinacota,59025,2515,043,0817,Alto,-18°12'0",-69°34'588"
15202,General Lagos,Escudo de General Lagos,Parinacota,Bandera de la Region de Arica y Parinacota Arica y Parinacota,22444,810,036,0773,Medio,-17°39'108",-69°38'6"
01101,Iquique,Escudo de Iquique,Iquique,Bandera de la Region de Tarapaca Tarapaca,22421,223463,996,0826,Alto,-20°14'384",-70°8'204"
01107,Alto Hospicio,Escudo de Alto Hospicio,Iquique,Bandera de la Region de Tarapaca Tarapaca,5729,129999,2268,0735,Medio,-20°15'252",-70°1'192"
01401,Pozo Almonte,Escudo de Pozo Almonte,Tamarugal,Bandera de la Region de Tarapaca Tarapaca,137658,17395,126,0772,Alto,-20°17'276",-69°41'456"
01402,Camiña,Escudo de Camiña,Tamarugal,Bandera de la Region de Tarapaca Tarapaca,22002,1375,062,0699,Medio,-20°28'588",-69°22'12"
01403,Colchane,Escudo de Colchane,Tamarugal,Bandera de la Region de Tarapaca Tarapaca,40156,1583,039,0683,Medio,-19°17'24",-68°40'30"
01404,Huara,Escudo de Huara,Tamarugal,Bandera de la Region de Tarapaca Tarapaca,104746,3000,029,0746,Medio,-19°48'324",-69°58'192"
01405,Pica,Escudo de Pica,Tamarugal,Bandera de la Region de Tarapaca Tarapaca,89343,5958,066,0823,Alto,-20°28'588",-69°22'408"
02101,Antofagasta,Escudo de Antofagasta,Antofagasta,Bandera de la Region de Antofagasta Antofagasta,307181,425725,138,0854,Alto,-23°39'36",-70°23'42"
02102,Mejillones,Escudo de Mejillones,Antofagasta,Bandera de la Region de Antofagasta Antofagasta,38039,14776,388,0795,Alto,-23°6'36",-70°27'216"
02103,Sierra Gorda,Escudo de Sierra Gorda,Antofagasta,Bandera de la Region de Antofagasta Antofagasta,12886,1746,014,0809,Alto,-22°53'528",-69°19'228"
02104,Taltal,Escudo de Taltal,Antofagasta,Bandera de la Region de Antofagasta Antofagasta,204051,13657,067,0776,Alto,-25°24'36",-70°29'204"
02201,Calama,Escudo de Calama,El Loa,Bandera de la Region de Antofagasta Antofagasta,155969,190336,122,0857,Alto,-22°28'264",-68°55'264"
02202,Ollagüe,Escudo de Ollagüe,El Loa,Bandera de la Region de Antofagasta Antofagasta,2964,287,009,0739,Medio,-21°13'588",-68°16'12"
02203,San Pedro de Atacama,Escudo de San Pedro de Atacama,El Loa,Bandera de la Region de Antofagasta Antofagasta,23439,10434,045,0771,Alto,-22°55'12",-68°12'36"
02301,Tocopilla,Escudo de Tocopilla,Tocopilla,Bandera de la Region de Antofagasta Antofagasta,40388,28079,695,0796,Medio,-22°4'552",-70°11'204"
02302,Maria Elena,Escudo de Maria Elena,Tocopilla,Bandera de la Region de Antofagasta Antofagasta,12197,6814,055,0779,Alto,-22°19'12",-69°40'372"
03101,Copiapo,Escudo de Copiapo,Copiapo,Bandera de la Region de Atacama Atacama,166813,171766,102,0725,Alto,-27°22'30",-70°19'444"
03102,Caldera,Escudo de Caldera,Copiapo,Bandera de la Region de Atacama Atacama,46666,19426,416,0741,Alto,-27°3'576",-70°49'336"
03103,Tierra Amarilla,Escudo de Tierra Amarilla,Copiapo,Bandera de la Region de Atacama Atacama,11191,14312,127,0686,Medio,-27°28'228",-70°16'588"
03201,Chañaral,Escudo de Chañaral,Chañaral,Bandera de la Region de Atacama Atacama,5772,13164,228,0714,Alto,-26°20'456",-70°37'264"
03202,Diego de Almagro,Escudo de Diego de Almagro,Chañaral,Bandera de la Region de Atacama Atacama,18664,14358,077,0789,Alto,-26°23'24",-70°3'72"
03301,Vallenar,Escudo de Vallenar,Huasco,Bandera de la Region de Atacama Atacama,7084,57009,804,0731,Alto,-28°34'372",-70°46'12"
03302,Alto del Carmen,Escudo de Alto del Carmen,Huasco,Bandera de la Region de Atacama Atacama,5939,5729,096,0664,Medio,-28°44'564",-70°29'276"
03303,Freirina,Escudo de Freirina,Huasco,Bandera de la Region de Atacama Atacama,32079,7681,239,0693,Medio,-28°30'216",-71°4'336"
03304,Huasco,Escudo de Huasco,Huasco,Bandera de la Region de Atacama Atacama,16014,11264,703,0695,Medio,-28°27'216",-71°11'96"
04101,La Serena,Escudo de La Serena,Elqui,Bandera de la Region de Coquimbo Coquimbo,18928,249656,1318,0781,Alto,-29°54'252",-71°14'492"
04102,Coquimbo,Escudo de Coquimbo,Elqui,Bandera de la Region de Coquimbo Coquimbo,1429,256735,1796,0731,Alto,-29°58'156",-71°18'252"
04103,Andacollo,Escudo de Andacollo,Elqui,Bandera de la Region de Coquimbo Coquimbo,310,11791,380,0675,Medio,-30°13'48",-71°5'96"
04104,La Higuera,Escudo de La Higuera,Elqui,Bandera de la Region de Coquimbo Coquimbo,41582,4450,107,067,Medio,-29°30'0",-71°16'588"
04105,Paihuano,Escudo de Paihuano,Elqui,Bandera de la Region de Coquimbo Coquimbo,1495,4675,312,0734,Alto,-30°2'168",-70°30'252"
04106,Vicuña,Escudo de Vicuña,Elqui,Bandera de la Region de Coquimbo Coquimbo,7610,29741,390,0716,Alto,-30°1'84",-70°42'54"
04201,Illapel,Escudo de Illapel,Choapa,Bandera de la Region de Coquimbo Coquimbo,2629,32801,124,0667,Medio,-31°38'204",-71°10'444"
04202,Canela,Escudo de Canela,Choapa,Bandera de la Region de Coquimbo Coquimbo,21966,9546,434,0644,Medio,-31°23'456",-71°25'84"
04203,Los Vilos,Escudo de Los Vilos,Choapa,Bandera de la Region de Coquimbo Coquimbo,18238,23374,128,0675,Medio,-31°54'54",-71°30'216"
04204,Salamanca,Escudo de Salamanca,Choapa,Bandera de la Region de Coquimbo Coquimbo,3445,29110,844,0676,Medio,-31°46'48",-70°58'12"
04301,Ovalle,Escudo de Ovalle,Limari,Bandera de la Region de Coquimbo Coquimbo,3835,121269,316,0725,Alto,-30°35'564",-71°11'204"
04302,Combarbala,Escudo de Combarbala,Limari,Bandera de la Region de Coquimbo Coquimbo,22575,13884,614,0661,Medio,-31°10'48",-71°0'144"
04303,Monte Patria,Escudo de Monte Patria,Limari,Bandera de la Region de Coquimbo Coquimbo,43669,32527,744,0653,Medio,-30°46'30",-70°56'348"
